Start Date,RPM
5/1/17,9.14
5/2/17,9.71
5/3/17,9.37
5/4/17,9.63
5/5/17,10.15
5/6/17,9.44
5/7/17,9.78
5/8/17,9.38
5/9/17,9.29
5/10/17,9.14
5/11/17,9.68
5/12/17,10.85
5/13/17,10.90
5/14/17,11.02
5/15/17,10.10
5/16/17,11.00
5/17/17,11.38
5/18/17,11.19
5/19/17,11.62
5/20/17,11.60
5/21/17,11.81
5/22/17,11.28
5/23/17,11.24
5/24/17,11.26
5/25/17,12.31
5/26/17,12.52
5/27/17,13.62
5/28/17,12.90
5/29/17,12.26
5/30/17,12.22
5/31/17,12.39
6/1/17,11.69
6/2/17,12.26
6/3/17,11.99
6/4/17,11.78
6/5/17,11.04
6/6/17,11.49
6/7/17,12.41
6/8/17,12.60
6/9/17,11.38
6/10/17,12.27
6/11/17,12.65
6/12/17,12.07
6/13/17,10.81
6/14/17,11.70
6/15/17,12.40
6/16/17,12.91
6/17/17,13.98
6/18/17,13.78
6/19/17,12.28
6/20/17,12.42
6/21/17,13.24
6/22/17,13.33
6/23/17,14.13
6/24/17,14.52
6/25/17,15.10
6/26/17,13.14
6/27/17,13.20
6/28/17,14.08
6/29/17,14.25
6/30/17,12.80
7/1/17,12.00
7/2/17,10.75
7/3/17,9.58
7/4/17,10.63
7/5/17,10.13
7/6/17,10.73
7/7/17,10.64
7/8/17,11.07
7/9/17,10.88
7/10/17,9.97
7/11/17,9.72
7/12/17,10.28
7/13/17,10.34
7/14/17,10.70
7/15/17,11.56
7/16/17,11.35
7/17/17,10.39
7/18/17,10.61
7/19/17,10.98
7/20/17,11.50
7/21/17,11.79
7/22/17,11.32
7/23/17,12.04
7/24/17,11.07
7/25/17,11.20
7/26/17,10.77
7/27/17,10.90
7/28/17,11.54
7/29/17,11.53
7/30/17,12.32
7/31/17,9.87
8/1/17,10.37
8/2/17,10.38
8/3/17,10.57
8/4/17,11.42
8/5/17,11.68
8/6/17,12.45
8/7/17,11.26
8/8/17,11.08
8/9/17,11.10
8/10/17,11.88
8/11/17,12.06
8/12/17,11.27
8/13/17,12.12
8/14/17,11.25
8/15/17,11.01
8/16/17,10.42
8/17/17,9.75
8/18/17,10.73
8/19/17,11.60
8/20/17,13.04
8/21/17,11.81
8/22/17,12.05
8/23/17,12.02
8/24/17,14.07
8/25/17,13.80
8/26/17,14.75
8/27/17,14.84
8/28/17,13.13
8/29/17,12.63
8/30/17,12.38
8/31/17,12.37
9/1/17,12.13
9/2/17,12.04
9/3/17,11.41
9/4/17,11.32
9/5/17,11.43
9/6/17,10.91
9/7/17,11.28
9/8/17,11.88
9/9/17,11.45
9/10/17,12.61
9/11/17,11.97
9/12/17,12.24
9/13/17,12.03
9/14/17,14.07
9/15/17,13.00
9/16/17,12.60
9/17/17,12.39
9/18/17,11.92
9/19/17,12.31
9/20/17,11.93
9/21/17,13.14
9/22/17,13.11
9/23/17,12.88
9/24/17,12.76
9/25/17,12.79
9/26/17,12.93
9/27/17,13.67
9/28/17,13.39
9/29/17,13.00
9/30/17,12.27
10/1/17,10.51
10/2/17,10.21
10/3/17,11.08
10/4/17,11.89
10/5/17,12.24
10/6/17,12.19
10/7/17,11.46
10/8/17,11.75
10/9/17,12.52
10/10/17,12.17
10/11/17,11.94
10/12/17,13.26
10/13/17,12.61
10/14/17,13.13
10/15/17,13.11
10/16/17,12.81
10/17/17,12.84
10/18/17,13.01
10/19/17,12.02
10/20/17,12.59
10/21/17,13.35
10/22/17,14.91
10/23/17,12.55
10/24/17,12.22
10/25/17,12.63
10/26/17,13.32
10/27/17,12.74
10/28/17,12.96
10/29/17,13.39
10/30/17,13.64
10/31/17,13.55
11/1/17,11.10
11/2/17,11.33
11/3/17,12.61
11/4/17,12.20
11/5/17,12.24
11/6/17,12.69
11/7/17,13.11
11/8/17,13.11
11/9/17,14.00
11/10/17,13.94
11/11/17,13.57
11/12/17,14.32
11/13/17,14.45
11/14/17,14.14
11/15/17,13.82
11/16/17,14.16
11/17/17,13.85
11/18/17,13.83
11/19/17,13.61
11/20/17,12.48
11/21/17,12.47
11/22/17,13.48
11/23/17,15.27
11/24/17,15.84
11/25/17,14.94
11/26/17,15.65
11/27/17,16.65
11/28/17,15.40
11/29/17,14.68
11/30/17,13.06
12/1/17,12.56
12/2/17,13.22
12/3/17,13.19
12/4/17,12.63
12/5/17,12.50
12/6/17,13.68
12/7/17,13.49
12/8/17,13.85
12/9/17,14.15
12/10/17,14.27
12/11/17,12.06
12/12/17,14.82
12/13/17,15.33
12/14/17,16.36
12/15/17,16.57
12/16/17,15.84
12/17/17,16.28
12/18/17,15.19
12/19/17,17.07
12/20/17,16.53
12/21/17,17.01
12/22/17,17.70
12/23/17,17.15
12/24/17,19.57
12/25/17,16.94
12/26/17,13.80
12/27/17,13.76
12/28/17,14.49
12/29/17,13.85
12/30/17,11.95
12/31/17,10.75
1/1/18,6.19
1/2/18,6.97
1/3/18,7.03
1/4/18,7.11
1/5/18,8.08
1/6/18,8.36
1/7/18,8.94
1/8/18,8.70
1/9/18,8.09
1/10/18,8.77
1/11/18,8.33
1/12/18,8.45
1/13/18,8.60
1/14/18,9.73
1/15/18,9.46
1/16/18,8.48
1/17/18,9.04
1/18/18,9.07
1/19/18,9.70
1/20/18,9.76
1/21/18,9.97
1/22/18,9.35
1/23/18,9.96
1/24/18,10.22
1/25/18,10.35
1/26/18,11.38
1/27/18,10.72
1/28/18,11.64
1/29/18,11.15
1/30/18,10.85
1/31/18,11.42
2/1/18,10.78
2/2/18,11.08
2/3/18,11.00
2/4/18,11.90
2/5/18,10.12
2/6/18,10.56
2/7/18,10.22
2/8/18,9.85
2/9/18,10.55
2/10/18,10.48
2/11/18,11.37
2/12/18,10.93
2/13/18,10.72
2/14/18,11.86
2/15/18,10.89
2/16/18,11.24
2/17/18,10.79
2/18/18,11.24
2/19/18,11.34
2/20/18,10.57
2/21/18,10.33
2/22/18,10.56
2/23/18,11.18
2/24/18,12.10
2/25/18,13.55
2/26/18,11.73
2/27/18,10.87
2/28/18,10.73
3/1/18,9.85
3/2/18,10.35
3/3/18,10.72
3/4/18,11.66
3/5/18,11.57
3/6/18,11.28
3/7/18,11.06
3/8/18,11.36
3/9/18,11.53
3/10/18,11.48
3/11/18,12.18
3/12/18,11.00
3/13/18,10.28
3/14/18,11.87
3/15/18,13.76
3/16/18,11.89
3/17/18,12.50
3/18/18,14.37
3/19/18,12.58
3/20/18,14.96
3/21/18,14.20
3/22/18,13.63
3/23/18,14.51
3/24/18,15.34
3/25/18,15.47
3/26/18,14.69
3/27/18,14.78
3/28/18,14.22
3/29/18,14.52
3/30/18,13.89
3/31/18,12.88
4/1/18,11.67
4/2/18,11.45
4/3/18,12.21
4/4/18,11.25
4/5/18,12.26
4/6/18,12.74
4/7/18,12.72
4/8/18,13.36
4/9/18,12.40
4/10/18,12.45
4/11/18,12.27
4/12/18,12.99
4/13/18,14.58
4/14/18,14.11
4/15/18,14.52
4/16/18,13.92
4/17/18,13.06
4/18/18,13.37
4/19/18,13.41
4/20/18,14.29
4/21/18,14.84
4/22/18,14.60
4/23/18,14.52
4/24/18,13.73
4/25/18,13.98
4/26/18,14.64
4/27/18,14.88
4/28/18,14.66
4/29/18,15.46
4/30/18,13.63
5/1/18,13.66
5/2/18,14.40
5/3/18,14.26
5/4/18,14.98
5/5/18,14.50
5/6/18,15.54
5/7/18,15.21
5/8/18,13.76
5/9/18,12.10
5/10/18,12.81
5/11/18,15.05
5/12/18,15.10
5/13/18,17.02
5/14/18,14.53
5/15/18,14.57
5/16/18,13.79
5/17/18,15.06
5/18/18,16.75
5/19/18,16.51
5/20/18,16.90
5/21/18,14.88
5/22/18,15.72
5/23/18,14.84
5/24/18,14.92
5/25/18,14.80
5/26/18,15.68
5/27/18,15.33
5/28/18,16.39
5/29/18,15.68
5/30/18,15.48
5/31/18,14.90
6/1/18,14.25
6/2/18,14.98
6/3/18,15.60
6/4/18,14.93
6/5/18,14.93
6/6/18,14.00
6/7/18,14.98
6/8/18,15.62
6/9/18,16.47
6/10/18,15.75
6/11/18,13.91
6/12/18,14.86
6/13/18,15.32
6/14/18,15.39
6/15/18,16.03
6/16/18,17.87
6/17/18,19.62
6/18/18,14.73
