# ----------------------------------------
# Fit Foodie Finds
# Site Speed Page Timings
# 20150101-20200831
# ----------------------------------------

Page,Avg. Page Load Time (sec),Pageviews,Bounce Rate,% Exit,Page Value
/,11.57,"2,874,863",36.55%,33.45%,$0.00
/the-50-best-oatmeal-recipes-on-the-planet/,18.11,"1,852,285",77.58%,74.43%,$0.00
/how-to-bake-eggs-in-oven/,15.19,"1,198,138",89.11%,88.06%,$0.00
/2015/04/8-ways-to-eat-overnight-oats/,12.20,"1,081,358",55.93%,47.24%,$0.00
/instant-pot-pork-roast/,22.87,"854,334",82.43%,79.75%,$0.00
/2012/11/how-to-bake-eggs-in-oven/,17.95,"844,285",87.90%,86.21%,$0.00
/8-ways-to-eat-overnight-oats/,17.03,"796,549",73.11%,67.73%,$0.00
/100-healthy-smoothie-recipes/,17.28,"716,479",77.66%,72.55%,$0.00
/foil-pack-grilled-red-potatoes/,18.95,"676,913",85.45%,88.33%,$0.00
/2016/01/healthy-buddha-bowl-recipes/,20.05,"642,045",75.02%,68.41%,$0.00
,15.70,"98,450,882",77.95%,64.94%,$0.00

Day Index,Avg. Page Load Time (sec)
1/1/15,39.42
1/2/15,34.81
1/3/15,29.25
1/4/15,34.85
1/5/15,42.44
1/6/15,30.71
1/7/15,34.92
1/8/15,28.81
1/9/15,37.41
1/10/15,39.62
1/11/15,30.14
1/12/15,28.10
1/13/15,31.33
1/14/15,46.36
1/15/15,51.84
1/16/15,21.86
1/17/15,42.41
1/18/15,46.59
1/19/15,35.20
1/20/15,51.80
1/21/15,50.84
1/22/15,39.01
1/23/15,22.45
1/24/15,35.58
1/25/15,37.17
1/26/15,26.64
1/27/15,46.32
1/28/15,34.17
1/29/15,30.92
1/30/15,47.71
1/31/15,30.00
2/1/15,40.02
2/2/15,33.59
2/3/15,26.79
2/4/15,49.02
2/5/15,31.15
2/6/15,25.43
2/7/15,20.85
2/8/15,24.92
2/9/15,28.48
2/10/15,37.39
2/11/15,15.94
2/12/15,20.65
2/13/15,24.02
2/14/15,27.88
2/15/15,28.25
2/16/15,25.54
2/17/15,28.06
2/18/15,25.85
2/19/15,36.30
2/20/15,31.44
2/21/15,39.23
2/22/15,24.54
2/23/15,39.86
2/24/15,26.98
2/25/15,24.34
2/26/15,15.32
