Day Index,Pageviews
1/1/15,12793.00
1/2/15,20706.00
1/3/15,18729.00
1/4/15,19442.00
1/5/15,16331.00
1/6/15,18833.00
1/7/15,14380.00
1/8/15,13585.00
1/9/15,12912.00
1/10/15,14498.00
1/11/15,18713.00
1/12/15,15097.00
1/13/15,17433.00
1/14/15,21188.00
1/15/15,25870.00
1/16/15,13343.00
1/17/15,12717.00
1/18/15,15574.00
1/19/15,15190.00
1/20/15,14234.00
1/21/15,13015.00
1/22/15,13731.00
1/23/15,12293.00
1/24/15,13585.00
1/25/15,16706.00
1/26/15,15105.00
1/27/15,14498.00
1/28/15,13600.00
1/29/15,13120.00
1/30/15,11069.00
1/31/15,14359.00
2/1/15,12811.00
2/2/15,16037.00
2/3/15,15590.00
2/4/15,14472.00
2/5/15,13419.00
2/6/15,11835.00
2/7/15,12780.00
2/8/15,17404.00
2/9/15,15823.00
2/10/15,15712.00
2/11/15,13170.00
2/12/15,12129.00
2/13/15,11402.00
2/14/15,12193.00
2/15/15,16853.00
2/16/15,15950.00
2/17/15,16468.00
2/18/15,14624.00
2/19/15,15234.00
2/20/15,13736.00
2/21/15,14712.00
2/22/15,18316.00
2/23/15,15645.00
2/24/15,16873.00
2/25/15,16089.00
2/26/15,13764.00
2/27/15,12444.00
2/28/15,14518.00
3/1/15,18886.00
3/2/15,16324.00
3/3/15,15554.00
3/4/15,14864.00
3/5/15,16150.00
3/6/15,12143.00
3/7/15,13825.00
3/8/15,18167.00
3/9/15,15330.00
3/10/15,16078.00
3/11/15,15463.00
3/12/15,14722.00
3/13/15,13247.00
3/14/15,14772.00
3/15/15,15859.00
3/16/15,18552.00
3/17/15,17174.00
3/18/15,16910.00
3/19/15,15546.00
3/20/15,15453.00
3/21/15,16602.00
3/22/15,21947.00
3/23/15,18256.00
3/24/15,17534.00
3/25/15,16837.00
3/26/15,18192.00
3/27/15,16469.00
3/28/15,15399.00
3/29/15,22466.00
3/30/15,20849.00
3/31/15,20965.00
4/1/15,18200.00
4/2/15,18387.00
4/3/15,16125.00
4/4/15,16103.00
4/5/15,17414.00
4/6/15,18142.00
4/7/15,20471.00
4/8/15,19102.00
4/9/15,17199.00
4/10/15,24310.00
4/11/15,17780.00
4/12/15,22991.00
4/13/15,20961.00
4/14/15,22542.00
4/15/15,18510.00
4/16/15,19051.00
4/17/15,18761.00
4/18/15,27513.00
4/19/15,26118.00
4/20/15,21742.00
4/21/15,19135.00
4/22/15,17241.00
4/23/15,16696.00
4/24/15,14683.00
4/25/15,16038.00
4/26/15,22286.00
4/27/15,22068.00
4/28/15,20587.00
4/29/15,19480.00
4/30/15,18128.00
5/1/15,15299.00
5/2/15,14890.00
5/3/15,20424.00
5/4/15,22207.00
5/5/15,21377.00
5/6/15,18487.00
5/7/15,15093.00
5/8/15,13681.00
5/9/15,15185.00
5/10/15,17158.00
5/11/15,19788.00
5/12/15,19024.00
5/13/15,17234.00
5/14/15,15927.00
5/15/15,14794.00
5/16/15,14680.00
5/17/15,22511.00
5/18/15,20568.00
5/19/15,27953.00
5/20/15,26944.00
5/21/15,17995.00
5/22/15,18248.00
5/23/15,17754.00
5/24/15,17585.00
